DATE,AVELISPRITX
7/1/2016,406689.1768
8/1/2016,392275.8279
9/1/2016,391285.792
10/1/2016,389365.3527
11/1/2016,387684.6827
12/1/2016,379810.6103
1/1/2017,378010.3075
2/1/2017,382900.6957
3/1/2017,394628.5207
4/1/2017,404001.3611
5/1/2017,407486.2487
6/1/2017,405830.0407
7/1/2017,400715.4579
8/1/2017,392559.3387
9/1/2017,393697.6529
10/1/2017,393539.3276
11/1/2017,394071.4646
12/1/2017,390991.0574
1/1/2018,389285.4395
2/1/2018,396792.662
3/1/2018,406115.1178
4/1/2018,417980.2332
5/1/2018,422150.979
6/1/2018,421617.9246
7/1/2018,413261.2512
8/1/2018,405171.784
9/1/2018,402873.1955
10/1/2018,401560.6753
11/1/2018,399561.3083
12/1/2018,393407.9057
1/1/2019,390216.0861
2/1/2019,395097.1158
3/1/2019,407364.6017
4/1/2019,419450.6943
5/1/2019,425418.2845
6/1/2019,424313.6649
7/1/2019,418275.8711
8/1/2019,413165.1204
9/1/2019,410153.4543
10/1/2019,410204.9624
11/1/2019,408479.0456
12/1/2019,401920.6055
1/1/2020,400962.2413
2/1/2020,409015.439
3/1/2020,417200.4943
4/1/2020,413805.4784
5/1/2020,433671.1448
6/1/2020,449189.7069
7/1/2020,453799.5041
8/1/2020,458389.7616
9/1/2020,465801.6381
10/1/2020,465760.1826
11/1/2020,464816.402
12/1/2020,457066.5424
1/1/2021,453263.9718
2/1/2021,462715.668
3/1/2021,472693.7297
4/1/2021,490879.5875
5/1/2021,505622.8995
6/1/2021,512162.8548
7/1/2021,507236.3265
8/1/2021,499739.8047
9/1/2021,498372.4458
10/1/2021,500312.6309
11/1/2021,501930.8412
12/1/2021,496881.7359
